title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdb_rating,imdb_votes,imdb_id,type,dvd,box_office,production,website,response
One Thousand Cranes,2010,N/A,N/A,12 min,"Short, Drama, Romance",Zach Carver,Jennie Allen,"Julia Garner, Darren Eugene Mallett, Sarita Covington","A dark, sweet film about Dorian, a romantic young runaway who makes art out of everything she sees. She watches the world from a Brooklyn rooftop and folds one thousand paper cranes to get her wish, the love of graffiti artist Lorenz",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGE1ODNiNGQtZDJmNC00NTI2LTljYTYtY2U0OTcyNDJiNmMzXkEyXkFqcGdeQXVyMjE4NzY1ODY@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.5/10'}]",N/A,8.5,16,tt1520828,movie,N/A,N/A,N/A,N/A,True
I Woke Up One Morning and Found Myself Famous,2010,N/A,01 Jun 2010,25 min,"Documentary, Short",Sumit Purohit,N/A,"Amitabh Pandey, Abhiram Poduval, Jayaram Poduval, Sumit Purohit",The film tries to explore our obsession with the violent and voyeuristic images and how every form of the media is becoming cannibalistic to satisfy this desire of our mind.,N/A,N/A,N/A,N/A,"[{'source': 'Internet Movie Database', 'value': '7.8/10'}]",N/A,7.8,16,tt1735997,movie,N/A,N/A,N/A,N/A,True
Red Bull BC ONE New York,2009,N/A,19 Dec 2009,N/A,Sport,"Maximilian Haidbauer, Anthony Gonzales","Maximilian Haidbauer, Gabor Harrach","Ronnie Abaldonado, Victor Alicea, Daniel 'Cloud' Campos, Gabriel Dionisio",N/A,"German, English",Austria,N/A,N/A,"[{'source': 'Internet Movie Database', 'value': '7.9/10'}]",N/A,7.9,16,tt1667854,movie,N/A,N/A,N/A,N/A,True
One Fine Sunday,2010,N/A,N/A,41 min,"Short, Action, Drama",Kibeom Kim,"Christian Cernauskas, Kibeom Kim","Brent Antonello, Pia Bundy, Lawrence Kao, Leo Kawabe","David never got over his mom leaving him, but he was doing his best and had found happiness with Marie. That is, until a trip to the laundromat on a Sunday drastically changed everything.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZmVhNzQ0OTAtNThmNi00OWU3LTkzYjktYWUwYjQxNmRkZDAxXkEyXkFqcGdeQXVyMjQ3NDYxOTY@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.2/10'}]",N/A,8.2,16,tt1759694,movie,N/A,N/A,N/A,N/A,True
One Thing Left to Do,2017,N/A,14 Feb 2017,115 min,Drama,Shane Sweeney,"Aki Monster, Shane Sweeney","Shane Sweeney, Danielle Bux, Rachel Chambers","Unable to come to terms with the death of his fiance Rosie, Michael escapes to South Africa to fulfill his would-be honeymoon. While there, he meets up with Rosie's estranged sister, Summer. Unwanted and uninvited, she forces hers...",English,United Kingdom,1 win,https://m.media-amazon.com/images/M/MV5BZmEyYjAyZGEtYjkzMi00MDVhLWJiNzktYzc1NWQ2NDYxNjYwXkEyXkFqcGdeQXVyNDY2MTc4OA@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.0/10'}]",N/A,7.0,16,tt4061302,movie,N/A,N/A,N/A,N/A,True
Cristiano Ronaldo: The One and Only,2020,N/A,04 Feb 2020,N/A,Documentary,Matt Salmon,Matt Salmon,N/A,"With over 61 Individual awards including a record breaking 5 Ballon d'Or's, Cristiano Ronaldo has become the second most award-winning player in Football history. Playing from a young age in Madeira, Portugal, Ronaldo went on to rise",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BODE3MDUxN2UtNmM4My00ZjU2LWJmYzYtZTIwY2JkODkzNjA1XkEyXkFqcGdeQXVyNjc1OTk4NjA@._V1_SX300.jpg,[],N/A,N/A,16,tt14663504,movie,N/A,N/A,N/A,N/A,True
One of Us,2002,N/A,03 Aug 2002,27 min,"Comedy, Drama, Short",John Lighten,John Lighten,"David Zimmerman, Britt Erickson, Rick Fitzgerald, Thomas K. Belgrey","LOKI SIMON (David Zimmerman) dissatisfied with himself and his general Abookkeeping error in his ccompany, A boss, who wants to chuck him out, A life offering no prospects and A completely ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAwMDM2NDIyMl5BMl5BanBnXkFtZTcwMDU2NTAwMQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.4/10'}]",N/A,7.4,15,tt0365595,movie,N/A,N/A,N/A,N/A,True
One on One: Classic Television Interviews,1993,N/A,29 Nov 1993,N/A,Documentary,N/A,Knute Walker,"Alan Alda, Louis Armstrong, Lauren Bacall, Humphrey Bogart",N/A,English,USA,N/A,N/A,"[{'source': 'Internet Movie Database', 'value': '6.7/10'}]",N/A,6.7,15,tt0323504,movie,N/A,N/A,N/A,N/A,True
Gretzky: The Great One and the Next Ones,1997,N/A,01 Jan 1997,50 min,Sport,N/A,N/A,"Sergei Fedorov, Peter Forsberg, Wayne Gretzky, Jaromír Jágr","Gretzky examines the styles of the NHL's rising young stars with an angle on the impact ""The Great One"" has had, not only on today's players but on hockey itself.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDQ3Mzg3Mjc2N15BMl5BanBnXkFtZTcwMjQwMTIyMQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.5/10'}]",N/A,8.5,15,tt0314129,movie,13 Jan 1998,N/A,N/A,N/A,True
Playboy Number One,1937,Approved,26 Nov 1937,17 min,"Comedy, Short",Al Christie,"Marcy Klauber, Arthur L. Jarrett","Willie Howard, Janet Reade, Louis Sorin","Professor Pierre Ginsberg, extraordinary French instructor, is sailing with a wealthy couple as their instructor and guide in France. But when his client tries out his French in the dining room and everything is wrong, he fires Gi...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmEzOGQ1MGItZWFhZC00YTE4LTlkNTgtNzFhODhkMmUyYzJjXkEyXkFqcGdeQXVyMDU4MTQ0Ng@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '3.6/10'}]",N/A,3.6,15,tt0029407,movie,N/A,N/A,N/A,N/A,True
One Life of Two Women,2015,N/A,30 Dec 2015,90 min,Drama,Janchivdorj Sengedorj,S. Turmunkh,"Navchaa Bazarjav, Gerelsukh Otgon, D. Purevsuren","It seems Lardimaa lives in all women's dream life. Snow white wedding dress, out of this world wedding reception, big and expensive house, high-end furniture, wealthy caring husband. Husband is rich, but seems caring in front of ever",Mongolian,Mongolia,N/A,https://m.media-amazon.com/images/M/MV5BMDVmNjk5MzktODNhMS00YTQxLWEyNzMtNzJkNzEyYTBiZjcxXkEyXkFqcGdeQXVyNjgyNjUxMTA@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.5/10'}]",N/A,5.5,15,tt6984198,movie,N/A,N/A,N/A,N/A,True
The Last One,2017,N/A,07 Aug 2017,11 min,"Short, Sci-Fi",Abhishek Kumar,Abhishek Kumar,Abhishek Kumar,A Sci-Fi short film based on time travel. A scientist is on the verge of inventing a time machine. Things were going just right until his one bad habit turns out to be his end.,English,India,N/A,https://m.media-amazon.com/images/M/MV5BNGIxNWFmNDMtM2VjMy00NjdlLWI0ZjItM2RjNjcxMjJmMjU5XkEyXkFqcGdeQXVyODE5OTQ1NjI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.5/10'}]",N/A,8.5,15,tt7595126,movie,N/A,N/A,N/A,N/A,True
The General Returns from One Place to Another,2006,Not Rated,N/A,11 min,Short,Michael Robinson,Michael Robinson,N/A,"Shaping a concurrently indulgent and skeptical experience of the beautiful, THE GENERAL RETURNS FROM ONE PLACE TO ANOTHER draws an uneasy balance between the romantic and the horrid. A Frank O'Hara monologue (from a play of the sa...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzU4YmIyMTQtZTFmYi00ZTYwLTlkZDktM2M2N2E5NjliY2E3XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}]",N/A,7.1,15,tt6142200,movie,N/A,N/A,N/A,N/A,True
One Another,2016,N/A,27 Oct 2016,26 min,"Short, Drama","Rebecca Hewett, Sammy Paul",Sammy Paul,"Emma Richardson, Daniel J. Layton",Two former strangers recount a life changing event of six year prior.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZDZjYTRiN2YtMjE5Ny00ZTllLWEwOGYtM2Q3ZmRlZDhiNjg1XkEyXkFqcGdeQXVyNTcyMTU3ODA@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.2/10'}]",N/A,8.2,15,tt6192976,movie,N/A,N/A,N/A,N/A,True
The Care One Takes of the Care Others Must Take of Themselves,2016,N/A,01 Oct 2016,21 min,"Short, Comedy, Drama",Gustavo Vinagre,Gustavo Vinagre,"Caetano Gotardo, Nash Laila, Julia Katharine",N/A,Portuguese,Brazil,2 wins,https://m.media-amazon.com/images/M/MV5BM2M5YzkzNjItMGNlNC00OTg1LWI4ZDUtNDE5ZjgzOGI0NjVlXkEyXkFqcGdeQXVyODAyNDExMg@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.8/10'}]",N/A,7.8,15,tt6264860,movie,N/A,N/A,N/A,N/A,True
&quot;Flip Flop Flippin': One man's search for character(s) on the A.T.&quot;,2014,PG,01 Feb 2014,85 min,"Documentary, Adventure",Scott Herriott,N/A,N/A,"Scott ""Squatch"" Herriott section-hiked the 2,650 mile-long Pacific Crest Trail and made four films about his adventures (""Walk"" films available here at Amazon). Now he attempts to hike the entire 2,100+ mile-long Appalachian Trail in",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNzgwMDE1NDUwNV5BMl5BanBnXkFtZTgwNjYzNTQyODE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.4/10'}]",N/A,6.4,15,tt5514448,movie,N/A,N/A,N/A,N/A,True
Shutter One,2009,N/A,22 Sep 2009,86 min,Horror,Jarungsak Wongleang,N/A,"Boonyarit Kewmaa, Onsiri Khunratcharya, Darunee Namsaard",A young photographer and his girlfriend discover mysterious shadows in their photographs after a tragic accident. They soon learn that you can not escape your past.,Thai,Thailand,N/A,https://m.media-amazon.com/images/M/MV5BYTAzYjBhMzYtNDBjMy00N2ZlLWIzYTQtMjE2MWY0MjI4ZWUwXkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.5/10'}]",N/A,6.5,15,tt5280002,movie,N/A,N/A,N/A,N/A,True
There Are Many Things One Can Talk About...,1997,N/A,N/A,52 min,"Documentary, History",Omar Amiralay,Omar Amiralay,N/A,The film was based on an interview with the late dramatist Saadallah Wannous a few months before he died of cancer.,"Syriac, Arabic","France, Syria",N/A,https://m.media-amazon.com/images/M/MV5BNGRjMzE5MDEtODlkZC00ZjYxLWE0Y2YtNjJjMWYyNzVhYjQ3XkEyXkFqcGdeQXVyMTA5NzAwMzM2._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.6/10'}]",N/A,8.6,15,tt4602880,movie,N/A,N/A,N/A,N/A,True
Redefining the Line: The Making of One Hundred and One Dalmatians,2008,N/A,04 Mar 2008,33 min,"Documentary, Short",N/A,N/A,"Andreas Deja, Ron Clements, Eric Goldberg, Brad Bird","The making of the classic animated film, and how its contemporary and modern feel in the 1960s made it stand out significantly in the Disney canon and its influence on animation.",English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYjlhZDk2YzEtZmI1Mi00YTMxLTgyNDEtN2ExOWFjYjAyYjI5XkEyXkFqcGdeQXVyMTQxMjk0Mg@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.5/10'}]",N/A,7.5,15,tt4576582,movie,N/A,N/A,N/A,N/A,True
One Church,2016,TV-PG,01 Sep 2016,106 min,Drama,Bill Rahn,Jason Campbell,"Jason Frederick, Jessica Lynch, Timothy Perez-Ross, Vanessa Ore","When a national tragedy turns into a personal vendetta for aspiring politician Cornelius Barlow, religion comes to the forefront of public debate. A national debate, like so many that ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTYzY2ZlZjItOTk4OC00YjQ0LTg5ZTgtMzIxMjA1YzE0NmIwXkEyXkFqcGdeQXVyMjIwNTk0OTU@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.0/10'}]",N/A,6.0,15,tt3994166,movie,N/A,N/A,N/A,N/A,True
Black and White Trypps Number One,2005,N/A,N/A,6 min,"Documentary, Short",Ben Russell,N/A,N/A,"Tying into and playing against a rich history of hand-painted films, the first Trypp starts off with lulling rhythms of interstellar undulations. But instead of referencing the romantic traditions of most cameraless films, as the ...",None,United States,1 win,N/A,"[{'source': 'Internet Movie Database', 'value': '5.2/10'}]",N/A,5.2,15,tt4145870,movie,N/A,N/A,N/A,N/A,True
This American Life: One Night Only at BAM,2014,N/A,20 Jun 2014,109 min,Comedy,Seth Lind,"Joshuah Bearman, Mike Birbiglia, Ira Glass, Lin-Manuel Miranda, Sasheer Zamata","Ira Glass, Mike Birbiglia, Sasheer Zamata, Lin-Manuel Miranda","Live stage performance of the public radio show This American Life, filmed at BAM (Brooklyn Academy of Music) Howard Gilman Opera House on June 7th, 2014, featuring host Ira Glass, an ...",English,USA,N/A,N/A,"[{'source': 'Internet Movie Database', 'value': '5.7/10'}]",N/A,5.7,15,tt3823442,movie,N/A,N/A,N/A,N/A,True
I Am No One,2013,N/A,N/A,N/A,Horror,Jason Hoover,Jason Hoover,N/A,"I AM NO ONE is a documentary film written, directed, and edited by Jason Hoover about a man named Charles Lake who moonlights as a serial killer in Chicago, IL.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzdmMjdmYjQtODk4Ny00MTBhLThiNjQtY2U1Mjc3YmJlNzc0XkEyXkFqcGdeQXVyOTIxNDQ1MTQ@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.5/10'}]",N/A,7.5,15,tt3342734,movie,N/A,N/A,N/A,N/A,True
One Girl,2018,N/A,02 Feb 2019,64 min,Documentary,Rosa Russo,"Paola Boncompagni, Rosa Russo","Noura Ziréi, Sarah Bagheri, Mariana Bebeselia","An ordinary day in the lives of four girls, from morning to bedtime, at school and at home with their families, teachers and friends.","Romanian, Arabic, Finnish, English, Acholi",United Kingdom,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BNjc3YjZiYTktY2RkNy00NWJmLWI1OTgtMzFmZWNiNDE2M2E1XkEyXkFqcGdeQXVyMTI2Mzg0OTM@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.8/10'}]",N/A,8.8,15,tt3114938,movie,N/A,N/A,N/A,N/A,True
Bibione Bye Bye One,1999,N/A,N/A,75 min,Documentary,Alessandro Rossetto,N/A,N/A,N/A,Italian,"Italy, Germany",N/A,https://m.media-amazon.com/images/M/MV5BMjUzZmU2YmEtOGY5OS00N2I4LWJjMTctMzBhNGNhZDM5ZTkzXkEyXkFqcGdeQXVyNjcwMDQ1MDY@._V1_SX300.jpg,[],N/A,N/A,15,tt1621769,movie,N/A,N/A,N/A,N/A,True
One Fine Day,2011,N/A,20 Nov 2011,70 min,Documentary,Klaas Bense,Klaas Bense,"John Carlos, Christian Führer, Rania Ibrahim","The documentary One Fine Day, shows six people from different cultures and religions who all, through a small nonviolent act, have had a significant and positive influence on society. In the film we meet a young Burmese monk, a Chile","English, German, Chinese, Spanish, Arabic",Netherlands,N/A,https://m.media-amazon.com/images/M/MV5BMTUyODE2MjQ5OV5BMl5BanBnXkFtZTcwMTQ4OTk0Nw@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.5/10'}]",N/A,7.5,15,tt2170555,movie,N/A,N/A,N/A,N/A,True
And Then One Day,2011,N/A,N/A,30 min,"Short, Comedy, Drama",Heddy Honigmann,"Heddy Honigmann (story), Stefan van de Staak","Nasrdin Dchar, Maryam Hassouni, Titus Muizelaar, Stefan van de Staak","A young Moroccan woman who, when faced with a sudden ban on headscarves, has to find a creative way to skirt the law.",Dutch,Netherlands,N/A,N/A,"[{'source': 'Internet Movie Database', 'value': '7.5/10'}]",N/A,7.5,15,tt2155316,movie,N/A,N/A,N/A,N/A,True
Fifty People One Question,2011,N/A,16 May 2011,12 min,"Documentary, Short, Drama",Kamil Krolak,Kamil Krolak,Kamil Krolak,"One town, 50 different people, one very difficult question.",English,Ireland,6 nominations,N/A,"[{'source': 'Internet Movie Database', 'value': '5.8/10'}]",N/A,5.8,15,tt2145525,movie,N/A,N/A,N/A,N/A,True
One Shot,2011,N/A,N/A,19 min,"Short, Crime, News",Nick Trivundza,Nick Trivundza,"Reed Daniels, Erin Gilley, Cole Panther, Lexie Findarle Trivundza","Imagine the Green Movement getting a gun. When the time comes to change the world, Jim Jones has decided to make a movie but not just another version of an 'Inconvenient Truth' or 'The ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTMwNzcwMzkxMF5BMl5BanBnXkFtZTcwODM2ODk3NA@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}]",N/A,7.1,15,tt1869606,movie,N/A,N/A,N/A,N/A,True
Africa First: Volume One,2010,Not Rated,26 Apr 2011,122 min,Drama,"Jan-Hendrik Beetge, Jenna Cato Bass, Dyana Gaye","Jan-Hendrik Beetge, Jenna Cato Bass, Dyana Gaye",Chantelle Burger,"Focus world is charged with finding the most exciting new voices in international and independent film. Focus' Africa First program is an initiative designed exclusively for filmmakers of African nationality and residence, and presents annual awards to the best and brightest from around the continent. After touring film festivals around the world, these Africa First short films are now available for audiences everywhere: Dyana Gaye's ""St. Louis Blues,"" an invigorating traveling musical; Jenna Bass' ""The Tunnel,"" a moving story of a young girl in search of her father; Jan-Hendrik Beetge's ""The Abyss Boys,"" a coming-of-age tale amidst rampant corruption and gang violence; and Wanuri Kahiu's ""Pumzi,"" a startling vision of the future.","English, French, Afrikaans","South Africa, Kenya, Senegal",N/A,https://m.media-amazon.com/images/M/MV5BMjI1NjQzNTI2MV5BMl5BanBnXkFtZTgwMDg3NTA2MDE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.7/10'}]",N/A,6.7,15,tt1891740,movie,N/A,N/A,N/A,N/A,True
One Shot Wonder,2006,N/A,14 May 2006,7 min,Short,Catalin Leescu,Catalin Leescu,"Constantin Barbulescu, Andreas Petrescu, Vladimir Petrescu, Luana Stoica","What would you do with a high-powered rifle on your head? Two men, one woman, a fabulous dramatic journey.",Romanian,Romania,N/A,https://m.media-amazon.com/images/M/MV5BMTcxNzY1Nzg4OV5BMl5BanBnXkFtZTcwNDUwODI0MQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.7/10'}]",N/A,7.7,15,tt0816599,movie,N/A,N/A,N/A,N/A,True
Three in One,1955,N/A,22 Jun 1955,89 min,Drama,Cecil Holmes,"Frank Hardy, Henry Lawson, Ralph W. Peterson","John McCallum, Edmund Allison, Reg Lye",This film contains three short stories about life in Australia in the 1950's.,English,Australia,1 nomination,https://m.media-amazon.com/images/M/MV5BYWIyZGQ5Y2MtNjQ0Yy00ZWExLWJkY2YtNmUyYzYyNDQ2NWU1L2ltYWdlXkEyXkFqcGdeQXVyMDM3ODU0Nw@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.0/10'}]",N/A,8.0,15,tt0758020,movie,N/A,N/A,N/A,N/A,True
"One, Two, Altogether!",1967,N/A,N/A,10 min,"Animation, Short",Vladimir Polkovnikov,Vladimir Suteev,"Anastasiya Georgievskaya, Aleksandra Panova, Klara Rumyanova","Elk, who ran through the forest during a thunderstorm, was crushed by a fallen tree. A brazen and treacherous magpie told the wolves about it all through the forest. Good forest animals decided to help to free the elk. The first was ",Russian,Soviet Union,N/A,https://m.media-amazon.com/images/M/MV5BZDA2ZGEyNzktY2FjYS00MzRkLTgzNTItNzE1YjA5MjU2YmZkXkEyXkFqcGdeQXVyMzY1MzQyOTY@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.5/10'}]",N/A,7.5,15,tt6789898,movie,N/A,N/A,N/A,N/A,True
The One I Adore,2017,N/A,20 Jul 2018,9 min,"Short, Thriller",Jason Seelmann,Jason Seelmann,"Matteo De Cola, Nicole Henderson, Jocelyn Anna Lernout",A short film about love lost and what some are willing to do to get it back.,English,Canada,12 wins & 23 nominations,https://m.media-amazon.com/images/M/MV5BOTYyNDdiYzUtZWM2MC00OGI0LTkwNzYtNWVjOTQxZDU0Y2NiXkEyXkFqcGdeQXVyNjc0NjQyNTY@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.9/10'}]",N/A,6.9,15,tt6324544,movie,N/A,N/A,N/A,N/A,True
One Day Notice,2019,N/A,22 Jul 2019,22 min,"Short, Drama, Thriller",Bryce Marrero,"Matt Kic, Mike Sorce","Celia Imrie, Adam Lopez, Jacqueline Jandrell, L.A. Williams","When a timid agent's assistant attempts to quit his job with one day notice, his washed up boss gives him a final task: Sign Hollywood's most valuable A-list star - or die.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTdlMDA1ZjUtOWYyNi00MjdiLWE5M2EtZTBlN2JkNDhhMjY0XkEyXkFqcGdeQXVyMTM0MDEyNDQ@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.8/10'}]",N/A,7.8,15,tt6326262,movie,N/A,N/A,N/A,N/A,True
One Life to Give,2018,N/A,24 Jun 2018,85 min,History,Benji Dunaief,"Benji Dunaief, Dominick Famularo, Michael Tessler (creator)","David Gianopoulos, Max Golub, Hans Paul Hendrickson, Evy McIntosh","In the early days of the American Revolution, two best friends find themselves forced to make an impossible decision. This is the story of how one friendship can alter the course of human events.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjdlNmUyZGUtOWRhYy00MTA1LTk5OWQtYTljZDIyMGMxNjdkXkEyXkFqcGdeQXVyNDE0ODAyOTU@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.2/10'}]",N/A,8.2,15,tt7230876,movie,N/A,N/A,N/A,N/A,True
One Life of Two Women,2015,N/A,30 Dec 2015,90 min,Drama,Janchivdorj Sengedorj,S. Turmunkh,"Navchaa Bazarjav, Gerelsukh Otgon, D. Purevsuren","It seems Lardimaa lives in all women's dream life. Snow white wedding dress, out of this world wedding reception, big and expensive house, high-end furniture, wealthy caring husband. Husband is rich, but seems caring in front of ever",Mongolian,Mongolia,N/A,https://m.media-amazon.com/images/M/MV5BMDVmNjk5MzktODNhMS00YTQxLWEyNzMtNzJkNzEyYTBiZjcxXkEyXkFqcGdeQXVyNjgyNjUxMTA@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.5/10'}]",N/A,5.5,15,tt6984198,movie,N/A,N/A,N/A,N/A,True
The Last One,2017,N/A,07 Aug 2017,11 min,"Short, Sci-Fi",Abhishek Kumar,Abhishek Kumar,Abhishek Kumar,A Sci-Fi short film based on time travel. A scientist is on the verge of inventing a time machine. Things were going just right until his one bad habit turns out to be his end.,English,India,N/A,https://m.media-amazon.com/images/M/MV5BNGIxNWFmNDMtM2VjMy00NjdlLWI0ZjItM2RjNjcxMjJmMjU5XkEyXkFqcGdeQXVyODE5OTQ1NjI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.5/10'}]",N/A,8.5,15,tt7595126,movie,N/A,N/A,N/A,N/A,True
The General Returns from One Place to Another,2006,Not Rated,N/A,11 min,Short,Michael Robinson,Michael Robinson,N/A,"Shaping a concurrently indulgent and skeptical experience of the beautiful, THE GENERAL RETURNS FROM ONE PLACE TO ANOTHER draws an uneasy balance between the romantic and the horrid. A Frank O'Hara monologue (from a play of the sa...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzU4YmIyMTQtZTFmYi00ZTYwLTlkZDktM2M2N2E5NjliY2E3XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.1/10'}]",N/A,7.1,15,tt6142200,movie,N/A,N/A,N/A,N/A,True
One Another,2016,N/A,27 Oct 2016,26 min,"Short, Drama","Rebecca Hewett, Sammy Paul",Sammy Paul,"Emma Richardson, Daniel J. Layton",Two former strangers recount a life changing event of six year prior.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZDZjYTRiN2YtMjE5Ny00ZTllLWEwOGYtM2Q3ZmRlZDhiNjg1XkEyXkFqcGdeQXVyNTcyMTU3ODA@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.2/10'}]",N/A,8.2,15,tt6192976,movie,N/A,N/A,N/A,N/A,True
Agent One-Half,2008,N/A,N/A,N/A,"Action, Comedy",Brian Bero,"Brian Bero (story & screenplay), Warwick Davis (story), Ed Ferrara (screenplay), Robert Paul Lewis (screenplay)","Warwick Davis, Arturo Gil, Gabriel Pimentel, David Steinberg","As part of America's smallest secret agent team, Agent One-Half must foil The Heel's villainous plot to send California to the bottom of the ocean.",English,USA,N/A,N/A,"[{'source': 'Internet Movie Database', 'value': '5.3/10'}]",N/A,5.3,15,tt0430878,movie,N/A,N/A,N/A,N/A,True
One Shot Wonder,2006,N/A,14 May 2006,7 min,Short,Catalin Leescu,Catalin Leescu,"Constantin Barbulescu, Andreas Petrescu, Vladimir Petrescu, Luana Stoica","What would you do with a high-powered rifle on your head? Two men, one woman, a fabulous dramatic journey.",Romanian,Romania,N/A,https://m.media-amazon.com/images/M/MV5BMTcxNzY1Nzg4OV5BMl5BanBnXkFtZTcwNDUwODI0MQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.7/10'}]",N/A,7.7,15,tt0816599,movie,N/A,N/A,N/A,N/A,True
Three in One,1955,N/A,22 Jun 1955,89 min,Drama,Cecil Holmes,"Frank Hardy, Henry Lawson, Ralph W. Peterson","John McCallum, Edmund Allison, Reg Lye",This film contains three short stories about life in Australia in the 1950's.,English,Australia,1 nomination,https://m.media-amazon.com/images/M/MV5BYWIyZGQ5Y2MtNjQ0Yy00ZWExLWJkY2YtNmUyYzYyNDQ2NWU1L2ltYWdlXkEyXkFqcGdeQXVyMDM3ODU0Nw@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.0/10'}]",N/A,8.0,15,tt0758020,movie,N/A,N/A,N/A,N/A,True
The Stand: How One Gesture Shook the World,2020,Not Rated,06 Aug 2020,69 min,Documentary,Tom Ratcliffe,Tom Ratcliffe,"Ralph Boston, John Carlos, Harry Edwards","Through intimate interviews with the participants and witnesses, this documentary is a revealing exploration into the circumstances that led runners Tommie Smith and John Carlos to that historic moment at the 1968 Olympics.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGFlMTg5MDgtZDgzNi00MTk5LTkzYzQtZGVhNmNmZDBmMjcwXkEyXkFqcGdeQXVyNjY5NDAzNTU@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.8/10'}]",N/A,6.8,15,tt12691734,movie,N/A,N/A,N/A,N/A,True
DAU. The Empire. Novel One: Return of the Prodigal Son,2020,N/A,04 May 2020,132 min,Drama,"Ilya Khrzhanovskiy, Anatoly Vasilyev","Ilya Khrzhanovskiy, Anatoly Vasilyev","Teodor Currentzis, Anatoly Vasilyev",N/A,Russian,"Germany, Ukraine, UK, Russia",N/A,N/A,"[{'source': 'Internet Movie Database', 'value': '5.7/10'}]",N/A,5.7,15,tt12258726,movie,N/A,N/A,N/A,N/A,True
